Q2,W,epsilon,XSEC,Stat,Sys,ScaleType
2.774,1.15,0.9704,0.0003838210567535,1.932539020754339e-06,3.277563149935954e-05,0.0013016005306870442
2.774,1.2,0.9691,0.0009440721627051,4.004754114195452e-06,6.517213360802797e-05,0.0032015044676743584
2.774,1.25,0.9677,0.0009973992971957,3.8030835202073994e-06,5.635306029155993e-05,0.003382345579259233
2.774,1.3,0.9661,0.000892188713128,3.210094989834837e-06,4.784183536406711e-05,0.0030255591298269918
2.774,1.35,0.9644,0.0009582158420735,3.248351704629371e-06,5.548644655111161e-05,0.003249468018000363
2.774,1.4,0.9626,0.0011561597994102,3.5968131359653413e-06,6.964591015667509e-05,0.0039207286364119475
2.774,1.45,0.9606,0.0016033020827052,4.453973185755076e-06,9.526179654601282e-05,0.005437061893769333
2.774,1.5,0.9585,0.0020897922703,5.232839844831344e-06,0.0001147379548085,0.007086830386679557
2.774,1.55,0.9562,0.0018735177364372,4.543280510860431e-06,0.0001029348114753,0.006353407758877503
2.774,1.6,0.9537,0.0018883901660521,4.430163329558408e-06,0.000104261797848,0.006403842621527031
2.774,1.65,0.951,0.0022784795634077,4.939743693468067e-06,0.0001275948555508,0.007726700129419108
2.774,1.7,0.9481,0.0028635795743863,5.758658524090929e-06,0.0001474199400689,0.009710870803212649
2.774,1.75,0.945,0.0025903560861523,5.0693268606001935e-06,0.0001296628642484,0.008784324875040881
2.774,1.8,0.9416,0.00256636192903,4.932547627595723e-06,0.0001295371183677,0.008702956729405686
2.774,1.85,0.938,0.0027878862453725,5.174316871411527e-06,0.0001388478865645,0.009454182235766218
2.774,1.9,0.9341,0.0029799228486391,5.3072425934263e-06,0.0001480604466574,0.010105410041862514
2.774,1.95,0.93,0.0031146338216485,5.344711637948871e-06,0.0001562393763953,0.01056223717751133
2.774,2.0,0.9255,0.0032078448756772,5.321814648748596e-06,0.0001642737360834,0.010878331240760111
2.774,2.05,0.9206,0.0033379995963566,5.367503350941522e-06,0.0001668031778295,0.011319707373014704
2.774,2.1,0.9155,0.0034350780805115,5.369027039839617e-06,0.00017092261513,0.01164891652991477
2.774,2.15,0.91,0.0034833694459895,5.305171666242139e-06,0.0001725034217042,0.011812680517918521
2.774,2.2,0.904,0.0035026167282356,5.208391074886393e-06,0.0001704723561632,0.01187795122765422
2.774,2.25,0.8977,0.003555481748881,5.183892389868589e-06,0.0001728355232948,0.012057225234945136
2.774,2.3,0.8909,0.0035704849654145,5.105793500542869e-06,0.0001759963449152,0.012108103617614375
2.774,2.35,0.8837,0.0035958917879845,5.0414402867543705e-06,0.0001754831151454,0.012194262344860603
2.774,2.4,0.8759,0.0036408885373672,5.002580850342568e-06,0.0001752432470805,0.012346853746101331
2.774,2.45,0.8677,0.0036519595676434,4.922841497183339e-06,0.0001788948913805,0.012384397436394511
2.774,2.5,0.8589,0.0036585758186972,4.862247263048638e-06,0.000181553166427,0.012406834235343547
3.244,1.15,0.9624,0.0001834511085382,1.08841542695756e-06,1.746729729947144e-05,0.0006221129769381008
3.244,1.2,0.9608,0.0004422079340106,2.2318234429519423e-06,3.240588182017124e-05,0.0014996000648079863
3.244,1.25,0.9591,0.0004789540378157,2.172535515532285e-06,2.974591947258556e-05,0.0016242121656081677
3.244,1.3,0.9573,0.0004445223164608,1.882996532528292e-06,2.558492644622247e-05,0.0015074485175501913
3.244,1.35,0.9554,0.0004863608195882,1.915775268357999e-06,2.950459275949979e-05,0.001649329784655214
3.244,1.4,0.9533,0.0005926076131317,2.13516523011378e-06,3.5379859719193135e-05,0.0020096301913857142
3.244,1.45,0.951,0.0008228831039385,2.634871698811291e-06,4.7389837955822064e-05,0.0027905323742246375
3.244,1.5,0.9485,0.0010716439557137,3.0927644561899976e-06,5.754406548996336e-05,0.0036341214660359973
3.244,1.55,0.9459,0.0009821972169434,2.7167575020656063e-06,5.304552509546536e-05,0.003330792816908708
3.244,1.6,0.943,0.0009986430675268,2.6583878457564856e-06,5.437311909763463e-05,0.0033865634096636034
3.244,1.65,0.94,0.0012105320269898,2.97548772234096e-06,6.437004053518329e-05,0.0041051138310931636
3.244,1.7,0.9367,0.0015353571147383,3.483725293341265e-06,7.706571501717562e-05,0.005206649297047138
3.244,1.75,0.9331,0.0014291409013247,3.138393419309237e-06,7.088681784661088e-05,0.004846452592582592
3.244,1.8,0.9294,0.0014282659907609,3.057917486219153e-06,7.222883941877102e-05,0.0048434856265078844
3.244,1.85,0.9253,0.0015655353000081,3.221871647416774e-06,8.100549302832172e-05,0.005308988502442974
3.244,1.9,0.9209,0.0017068612557716,3.359102951358556e-06,8.80911094103735e-05,0.005788248136027284
3.244,1.95,0.9162,0.001798286009317,3.416743417702336e-06,9.455567665589816e-05,0.006098284559612687
3.244,2.0,0.9112,0.001870383755516,3.4489876451716477e-06,9.898257872566634e-05,0.006342779912493304
3.244,2.05,0.9059,0.0019574941597933,3.4960845693909744e-06,0.000102032425585,0.006638185665879351
3.244,2.1,0.9002,0.0020262842741826,3.52776092135198e-06,0.0001058064859449,0.006871464293561935
3.244,2.15,0.8941,0.0020764515721164,3.532044124170101e-06,0.000107917341106,0.007041589878036329
3.244,2.2,0.8875,0.0021216328787397,3.5367620088590947e-06,0.000106308658655,0.007194807143330322
3.244,2.25,0.8806,0.0021495478987112,3.50591262279802e-06,0.0001067100063357,0.007289471581796444
3.244,2.3,0.8731,0.0021930363367031,3.495699920704875e-06,0.0001101715664469,0.0074369480502523184
3.244,2.35,0.8652,0.0022394330753884,3.5002338968321685e-06,0.000115079986878,0.007594287046204587
3.244,2.4,0.8567,0.0022484464522364,3.453613750635259e-06,0.0001136005085527,0.0076248528942272865
3.244,2.45,0.8478,0.0022937455005668,3.4566744693542536e-06,0.0001164832777552,0.007778469441076442
3.244,2.5,0.8382,0.0022890698468683,3.410714071833796e-06,0.0001172804936042,0.007762613527941418
3.793,1.15,0.9517,8.309415111743569e-05,6.186359550693088e-07,8.20671074096242e-06,0.00028178597627306304
3.793,1.2,0.9499,0.0001995066057551,1.2728521447179472e-06,1.708534670366075e-05,0.0006765598170221835
3.793,1.25,0.9479,0.0002249443645637,1.286006932211015e-06,1.7409794039776756e-05,0.0007628234541577218
3.793,1.3,0.9457,0.0002151978990854,1.1373208966667993e-06,1.5564833645055113e-05,0.000729771581636237
3.793,1.35,0.9434,0.0002439145625876,1.181766055737221e-06,1.7836008474660172e-05,0.0008271545255793822
3.793,1.4,0.941,0.0003021540683086,1.3331037493777766e-06,2.183727882480297e-05,0.001024654298506349
3.793,1.45,0.9383,0.0004168988343749,1.6325758354124673e-06,2.7544089088321328e-05,0.0014137727321554296
3.793,1.5,0.9354,0.0005391319102339,1.918231336612491e-06,3.182010447391957e-05,0.0018282852598194902
3.793,1.55,0.9324,0.000492705348565,1.688008524183766e-06,2.9185401322249087e-05,0.0016708451292092928
3.793,1.6,0.9291,0.0005107593197434,1.671204494200577e-06,3.060571995766717e-05,0.0017320691242281637
3.793,1.65,0.9256,0.0006236490958386,1.869699989324372e-06,3.760229858449757e-05,0.00211489698082755
3.793,1.7,0.9218,0.000804862410356,2.228664014275785e-06,4.612264042545102e-05,0.002729421229023986
3.793,1.75,0.9178,0.0007523056231995,2.0116652364354938e-06,4.266550880851388e-05,0.0025511924923498548
3.793,1.8,0.9134,0.0007477015764753,1.943276397259398e-06,4.367175367877141e-05,0.002535579410279229
3.793,1.85,0.9088,0.0008277067266983,2.064300576385726e-06,4.957052815523847e-05,0.002806890074860176
3.793,1.9,0.9039,0.0009023841541228,2.137748061116996e-06,5.3347146423433744e-05,0.0030601335524021
3.793,1.95,0.8986,0.000951362475248,2.1567387313873685e-06,5.598292485597252e-05,0.0032262271203473904
3.793,2.0,0.893,0.0010046714559503,2.1821464023241144e-06,5.6694614930733005e-05,0.0034070066694409187
3.793,2.05,0.887,0.0010517699679057,2.197147462955015e-06,5.932613680968912e-05,0.003566725494338765
3.793,2.1,0.8806,0.0011027740507725,2.223192486357376e-06,6.212257060216769e-05,0.003739688754583417
3.793,2.15,0.8737,0.0011501633431357,2.2451188458010623e-06,6.466678380446665e-05,0.0039003936638204273
3.793,2.2,0.8665,0.0011888423111583,2.259989233512065e-06,6.804101199452711e-05,0.004031560426088439
3.793,2.25,0.8587,0.0012243048102569,2.2759826422677e-06,7.14173724967196e-05,0.004151819611544933
3.793,2.3,0.8505,0.0012549944096477,2.289109803197564e-06,7.151711142818879e-05,0.0042558931066040955
3.793,2.35,0.8418,0.0012840603835734,2.298468086596432e-06,7.318887374291811e-05,0.004354460619826602
3.793,2.4,0.8325,0.0013073177790608,2.299571973368047e-06,7.27417758625042e-05,0.004433330285198399
3.793,2.45,0.8226,0.0013182007097652,2.289714632862295e-06,7.154797992393022e-05,0.004470236098808763
3.793,2.5,0.8121,0.001331632524025,2.277091616082886e-06,7.326109494176376e-05,0.004515785597099768
4.435,1.15,0.9374,3.603280039710037e-05,3.338078628787379e-07,3.992794612002692e-06,0.00012219317125461096
4.435,1.2,0.9352,8.658254959232128e-05,6.937859698832705e-07,7.897021183216438e-06,0.00029361571105771553
4.435,1.25,0.9328,9.938013611329169e-05,7.16828921785173e-07,8.78927861799563e-06,0.0003370144384441242
4.435,1.3,0.9303,9.7325089950583e-05,6.453626714623158e-07,7.941338039607769e-06,0.0003300454378411014
4.435,1.35,0.9275,0.0001122276180858,6.777425856202776e-07,9.266522197728215e-06,0.00038058236953902646
4.435,1.4,0.9246,0.000140765857247,7.713968977137898e-07,1.1018025178440467e-05,0.0004773602471033297
4.435,1.45,0.9215,0.0001952601124826,9.47011545540639e-07,1.4697619186790718e-05,0.0006621592576995752
4.435,1.5,0.9181,0.0002532881608445,1.12080011173706e-06,1.6775274892733442e-05,0.0008589419438331539
4.435,1.55,0.9145,0.0002385178630111,1.007022417633274e-06,1.566370658180832e-05,0.0008088534269055744
4.435,1.6,0.9107,0.000247696753812,9.93263982786134e-07,1.694295335424866e-05,0.0008399805600509629
4.435,1.65,0.9066,0.00030225199365,1.1156121085624096e-06,1.9854631210879477e-05,0.0010249863794958916
4.435,1.7,0.9023,0.00038892539651,1.327791303685214e-06,2.4280612504120656e-05,0.0013189101889743283
4.435,1.75,0.8976,0.0003683723079973,1.217470477931364e-06,2.284460868045795e-05,0.0012492112747415718
4.435,1.8,0.8926,0.0003718125939088,1.1909157382901516e-06,2.2656772222431685e-05,0.0012608778518856168
4.435,1.85,0.8873,0.0004144820295544,1.2703874205845008e-06,2.489710655127889e-05,0.0014055769482567103
4.435,1.9,0.8817,0.000453543404883,1.3311498933318494e-06,2.7301952343746965e-05,0.0015380405167933471
4.435,1.95,0.8757,0.0004833157949645,1.358117383850364e-06,2.868672569432544e-05,0.0016390036037528765
4.435,2.0,0.8693,0.0005125404678895,1.386421965641253e-06,3.059559069019924e-05,0.0017381092914660046
4.435,2.05,0.8625,0.0005437644824274,1.4110688318992411e-06,3.259976825049067e-05,0.001843995076462974
4.435,2.1,0.8553,0.0005766986849168,1.446937000456268e-06,3.4136525256280534e-05,0.0019556803909700623
4.435,2.15,0.8476,0.0006027750896258,1.4611268172529512e-06,3.5979042324674665e-05,0.002044109781725042
4.435,2.2,0.8394,0.000627063355736,1.4742259493355131e-06,3.7436309400799433e-05,0.0021264752994637095
4.435,2.25,0.8307,0.0006479311083065,1.4811705135887078e-06,3.653942692183797e-05,0.00219724129143338
4.435,2.3,0.8216,0.0006698721693899,1.4891258325538996e-06,3.7265658655333335e-05,0.0022716470496571433
4.435,2.35,0.8118,0.0006892371807968,1.490820022063621e-06,3.720709073095721e-05,0.0023373169984014343
4.435,2.4,0.8015,0.0007063831312317,1.4932939394239958e-06,3.8529667893037774e-05,0.0023954617452633348
4.435,2.45,0.7906,0.0007227193503391,1.4916927390999633e-06,4.058502783764416e-05,0.0024508605595948466
4.435,2.5,0.779,0.0007373499891993,1.4887096281935288e-06,4.017082741158171e-05,0.0025004754699017528
5.187,1.15,0.9179,1.3922665482972665e-05,1.7868348880847117e-07,1.656616197822468e-06,4.7214055775094374e-05
5.187,1.2,0.9153,3.353446812697598e-05,3.7582078429901997e-07,3.0217238539855515e-06,0.00011372091432287393
5.187,1.25,0.9124,4.002743877532522e-05,4.028761712736483e-07,3.3542593419334778e-06,0.0001357396490767996
5.187,1.3,0.9094,4.169887416274996e-05,3.8050222673509334e-07,3.1343792741914265e-06,0.0001414077622482933
5.187,1.35,0.9061,4.85105993112378e-05,4.016192516977377e-07,3.597254981325528e-06,0.00016450744610399206
5.187,1.4,0.9026,6.13840663012129e-05,4.5497869942459e-07,4.3618289832315865e-06,0.00020816349668043282
5.187,1.45,0.8989,8.503690123548011e-05,5.581822197096914e-07,6.425303220451642e-06,0.0002883741624607295
5.187,1.5,0.895,0.0001104371984846,6.621814421141196e-07,8.043030728440496e-06,0.0003745107612672295
5.187,1.55,0.8907,0.0001040966747185,5.918936924493994e-07,7.131038604916224e-06,0.0003530089990434603
5.187,1.6,0.8862,0.0001084197020417,5.81129602943921e-07,6.9660742758861685e-06,0.00036766909795946486
5.187,1.65,0.8814,0.0001315654485193,6.466441794724439e-07,8.782914646804056e-06,0.00044616014311788616
5.187,1.7,0.8763,0.0001729457492341,7.83271298281243e-07,1.1166242299299729e-05,0.0005864875702422501
5.187,1.75,0.8709,0.0001668220955971,7.226733181270484e-07,1.0532313005528902e-05,0.0005657212504080005
5.187,1.8,0.8651,0.0001702218897455,7.103359459080808e-07,1.0488391958560342e-05,0.0005772505133025741
5.187,1.85,0.859,0.0001889541837912,7.486364761810586e-07,1.1962500421642262e-05,0.0006407748130820092
5.187,1.9,0.8525,0.0002087010754265,7.861769511318895e-07,1.3810376264202424e-05,0.0007077397806878195
5.187,1.95,0.8456,0.0002260425204461,8.108145208403941e-07,1.3863639864004197e-05,0.0007665474819413952
5.187,2.0,0.8383,0.0002432066657936,8.315235903483666e-07,1.4435531648179965e-05,0.00082475393075393
5.187,2.05,0.8305,0.0002619801855296,8.553653057543673e-07,1.5655673907067454e-05,0.0008884180336510634
5.187,2.1,0.8222,0.0002779641472972,8.708616734822789e-07,1.644630470313629e-05,0.000942622285223824
5.187,2.15,0.8135,0.0002949837992944,8.896711386721035e-07,1.7443277003679545e-05,0.0010003387332453077
5.187,2.2,0.8043,0.0003103473286335,9.006279476946796e-07,1.813018059144572e-05,0.001052438996086909
5.187,2.25,0.7945,0.0003257277432883,9.126891366939851e-07,1.916875196477671e-05,0.0011045965198199837
5.187,2.3,0.7841,0.000342923810327,9.289806021758928e-07,1.9889238075156745e-05,0.0011629112203541874
5.187,2.35,0.7732,0.000355030689557,9.333756828456e-07,1.996337567379539e-05,0.0012039676453560399
5.187,2.4,0.7617,0.0003698943453942,9.424907920644836e-07,2.057722243428069e-05,0.0012543727546777883
5.187,2.45,0.7495,0.0003865481658262,9.509084879325296e-07,2.0662932204241208e-05,0.0013108486075025572
5.187,2.5,0.7366,0.0003990551584808,9.485541117089468e-07,2.110842166300229e-05,0.0013532618831425677
6.065,1.15,0.8913,5.032945026281633e-06,8.9334774216499e-08,4.599759447869573e-07,1.7067546977585554e-05
6.065,1.2,0.8881,1.2144004520025846e-05,1.884870941553212e-07,1.0659035647317086e-06,4.118232298569004e-05
6.065,1.25,0.8846,1.5147181800142333e-05,2.0831919129735749e-07,1.2218777142720818e-06,5.136659264147736e-05
6.065,1.3,0.8809,1.627044893791353e-05,2.0438937955806974e-07,1.409671695980828e-06,5.51757768352598e-05
6.065,1.35,0.877,1.925267194316176e-05,2.1632302195336557e-07,1.585110986424394e-06,6.528898708769031e-05
6.065,1.4,0.8728,2.463543537526451e-05,2.480295633581631e-07,1.7917598502783632e-06,8.354282599650068e-05
6.065,1.45,0.8684,3.415077277166397e-05,3.0356621916732104e-07,2.539929574119736e-06,0.00011581090505807729
6.065,1.5,0.8636,4.496779549269641e-05,3.6464385365027526e-07,3.2844477827865465e-06,0.00015249321382258008
6.065,1.55,0.8586,4.295928055803088e-05,3.282089034633559e-07,3.0696124329935387e-06,0.00014568200829111162
6.065,1.6,0.8533,4.561773031487546e-05,3.2657733132419345e-07,3.1366295187205217e-06,0.00015469725003835116
6.065,1.65,0.8476,5.671895260050084e-05,3.683328781876525e-07,3.8025520202427777e-06,0.00019234332641691887
6.065,1.7,0.8416,7.536285280383271e-05,4.499915940916851e-07,4.908307240260821e-06,0.00025556786809264535
6.065,1.75,0.8352,7.343509268748837e-05,4.174050668356839e-07,4.54357605476028e-06,0.00024903051547396773
6.065,1.8,0.8285,7.526357177807933e-05,4.085306676114146e-07,4.605001639241784e-06,0.00025523118975378405
6.065,1.85,0.8213,8.482332290228217e-05,4.367552896238509e-07,5.145043473960826e-06,0.0002876498830942323
6.065,1.9,0.8137,9.554713097628322e-05,4.6407241515180765e-07,5.924877591839323e-06,0.00032401608561102136
6.065,1.95,0.8057,0.0001058332678747,4.87256365295455e-07,6.466412667148633e-06,0.00035889807295935304
6.065,2.0,0.7973,0.0001149704026891,5.051799494159995e-07,6.716226013890407e-06,0.0003898836046651344
6.065,2.05,0.7883,0.0001266873863637,5.286664632957774e-07,7.393222493413605e-06,0.00042961782950914885
6.065,2.1,0.7788,0.0001386240382907,5.549120252777875e-07,7.866498300883988e-06,0.0004700969856404599
6.065,2.15,0.7688,0.000149521185109,5.73563266078324e-07,8.472019869464004e-06,0.000507051008438597
6.065,2.2,0.7583,0.0001598058264667,5.901629171415366e-07,8.47322453091756e-06,0.0005419279241616064
6.065,2.25,0.7472,0.0001704743929584,6.034793510728102e-07,8.772612261640343e-06,0.0005781067933584177
6.065,2.3,0.7354,0.0001811814261919,6.147485790691986e-07,9.462743527151816e-06,0.0006144161096233606
6.065,2.35,0.7231,0.0001940523107264,6.293116436858373e-07,1.054286204176736e-05,0.0006580634026672018
6.065,2.4,0.7101,0.0002037427286941,6.34047371696314e-07,1.1117221991198383e-05,0.0006909252088328756
6.065,2.45,0.6964,0.0002161310282096,6.494737397700399e-07,1.25064219473522e-05,0.0007329359764548316
6.065,2.5,0.682,0.0002265406671283,6.592333413435308e-07,1.3480755478807386e-05,0.000768236779530735
7.093,1.15,0.8544,1.7217839081881409e-06,4.289308072078296e-08,1.843978912152253e-07,5.838853312483516e-06
7.093,1.2,0.8504,4.435711216443091e-06,9.809131784042253e-08,3.886259668062286e-07,1.5042228589883517e-05
7.093,1.25,0.8462,5.869871228690788e-06,1.1493794852899433e-07,5.244964737684367e-07,1.9905701815716944e-05
7.093,1.3,0.8417,6.457998148900989e-06,1.124014577816217e-07,5.679938531921397e-07,2.190013723812933e-05
7.093,1.35,0.837,7.924385037737526e-06,1.2620375611100782e-07,7.228544787573794e-07,2.687289711963824e-05
7.093,1.4,0.8319,1.0225165463209983e-05,1.4296826350660206e-07,8.470118063104623e-07,3.467522315177302e-05
7.093,1.45,0.8266,1.4354067355326976e-05,1.804880429258814e-07,1.1654497907810631e-06,4.867701070191689e-05
7.093,1.5,0.8209,1.9290011201421087e-05,2.1892233712492795e-07,1.4600223678131594e-06,6.541561067311026e-05
7.093,1.55,0.8149,1.8884469764445785e-05,1.998543435171297e-07,1.3906523534537872e-06,6.404035274941161e-05
7.093,1.6,0.8085,2.030070844070812e-05,2.0014468451694134e-07,1.464817918247735e-06,6.884305176804945e-05
7.093,1.65,0.8018,2.512660868637569e-05,2.254108065254763e-07,1.778788008734594e-06,8.520847573393082e-05
7.093,1.7,0.7946,3.424166236355178e-05,2.83349756058391e-07,2.317270258791004e-06,0.00011611912666018465
7.093,1.75,0.7871,3.4135771310436125e-05,2.656104365665035e-07,2.293548338576893e-06,0.00011576003262793913
7.093,1.8,0.7791,3.524592468049323e-05,2.624764010956331e-07,2.304272817836606e-06,0.00011952474587174207
7.093,1.85,0.7707,4.06318556456296e-05,2.8474804436457225e-07,2.636357321711031e-06,0.00013778932640768566
7.093,1.9,0.7619,4.6058381946364366e-05,3.0126787631116933e-07,3.141964641235138e-06,0.0001561915724245313
7.093,1.95,0.7525,5.176223627032471e-05,3.169401726831982e-07,3.3969485174763296e-06,0.00017553428352491877
7.093,2.0,0.7426,5.7590226356134685e-05,3.28840192493529e-07,3.761505634450937e-06,0.00019529795947509167
7.093,2.05,0.7323,6.350145811936514e-05,3.382087659437388e-07,3.921532546161395e-06,0.00021534392168757186
7.093,2.1,0.7213,6.955243065544468e-05,3.481794678611561e-07,4.409137236540605e-06,0.00023586376791683177
7.093,2.15,0.7098,7.57421972903786e-05,3.568214914349736e-07,4.744036785085573e-06,0.0002568542878351621
7.093,2.2,0.6977,8.254157005991658e-05,3.680528608971681e-07,4.991866532513575e-06,0.0002799120827358036
7.093,2.25,0.685,8.888407588518838e-05,3.804238447886063e-07,5.302646199158568e-06,0.00030142056644924737
7.093,2.3,0.6716,9.505298045894707e-05,3.909529086276493e-07,5.48968983342603e-06,0.0003223403396760685
7.093,2.35,0.6576,0.0001017552328782,4.034594983623919e-07,5.7093843615675776e-06,0.00034506878344485497
7.093,2.4,0.6429,0.0001076384677618,4.130088008021395e-07,5.915379634319098e-06,0.00036501980361925936
7.093,2.45,0.6274,0.0001130927442582,4.203657304078737e-07,6.460875386728926e-06,0.00038351615512815395
7.093,2.5,0.6113,0.0001190229815377,4.284827335360374e-07,6.75931512153099e-06,0.00040362656818205395
8.294,1.15,0.8028,7.023998498380518e-07,2.1652880170957623e-08,1.0098402641121672e-07,2.3819537808496523e-06
8.294,1.2,0.798,1.7096075501015874e-06,4.7390321288816e-08,2.440037375882491e-07,5.797561273215665e-06
8.294,1.25,0.7928,2.349503151346976e-06,5.7990436781546056e-08,3.193726623688971e-07,7.967552834413949e-06
8.294,1.3,0.7874,2.6680720063821192e-06,5.806525107489405e-08,3.419427764099388e-07,9.04787238301132e-06
8.294,1.35,0.7816,3.3896419252396477e-06,6.563024695649007e-08,3.881445072172668e-07,1.1494835030805661e-05
8.294,1.4,0.7754,4.44628792315769e-06,7.73787487267133e-08,5.019147659177327e-07,1.5078095947420089e-05
8.294,1.45,0.769,6.444690555018622e-06,9.924178985673176e-08,7.154637666559473e-07,2.185500899163351e-05
8.294,1.5,0.7621,8.73379760877016e-06,1.2195001601125774e-07,8.639734608523705e-07,2.961774869425481e-05
8.294,1.55,0.7549,8.717082699494352e-06,1.1366204131870687e-07,8.040026886224626e-07,2.956106567908155e-05
8.294,1.6,0.7472,9.3583224371753e-06,1.1252446898459581e-07,8.139400939733217e-07,3.1735615428703984e-05
8.294,1.65,0.7392,1.160912492810977e-05,1.2702704496337712e-07,9.551523625851595e-07,3.936845803888293e-05
8.294,1.7,0.7307,1.5781515234250586e-05,1.5727858082454136e-07,1.2480180062397707e-06,5.3517721976202966e-05
8.294,1.75,0.7217,1.6118331884314495e-05,1.504323914763072e-07,1.2022180202553652e-06,5.46599228084751e-05
8.294,1.8,0.7123,1.6477442719196245e-05,1.4511683802796133e-07,1.1490050356949927e-06,5.587772689981692e-05
8.294,1.85,0.7024,1.8753143511719813e-05,1.555198191426924e-07,1.2506283876530826e-06,6.359500375869418e-05
8.294,1.9,0.692,2.1252613633115386e-05,1.6453773474757934e-07,1.3606773352465795e-06,7.207111933182766e-05
8.294,1.95,0.681,2.409685239918152e-05,1.741961459936832e-07,1.4648717541986436e-06,8.171640226295644e-05
8.294,2.0,0.6695,2.67677804369791e-05,1.8252949479976049e-07,1.598250634331148e-06,9.077395991971867e-05
8.294,2.05,0.6574,2.962034871192705e-05,1.9114011023806529e-07,1.783707779083535e-06,0.00010044748958976438
8.294,2.1,0.6448,3.2593475493835886e-05,2.0067802861554757e-07,1.966592530871576e-06,0.0001105298530480509
8.294,2.15,0.6315,3.5207073827961645e-05,2.0596138189357561e-07,2.115769101691355e-06,0.00011939299622074458
8.294,2.2,0.6176,3.796939273143213e-05,2.1183124204865986e-07,2.2807454825916653e-06,0.00012876047538172537
8.294,2.25,0.603,4.084456852317333e-05,2.1651705774134187e-07,2.4268617279413896e-06,0.00013851067087126653
8.294,2.3,0.5878,4.35634429436116e-05,2.2165079769709587e-07,2.5826587149120133e-06,0.00014773082262231193
8.294,2.35,0.5718,4.650707135462712e-05,2.2783814256631825e-07,2.790749830777109e-06,0.0001577131522379169
8.294,2.4,0.5552,4.942183050752657e-05,2.3277682169045015e-07,2.9908609168239853e-06,0.00016759758143606627
8.294,2.45,0.5378,5.2365900557802495e-05,2.3789828623409678e-07,3.07974334360548e-06,0.00017758140872327002
8.294,2.5,0.5196,5.580217004652117e-05,2.436322744231114e-07,3.2168834988418526e-06,0.00018923436551498762
9.699,1.15,0.7305,2.4452870125355405e-07,1.0928476716423838e-08,3.145886194497098e-08,8.292371711233305e-07
9.699,1.2,0.7245,5.98037628828995e-07,2.3885622895430066e-08,8.157771491093438e-08,2.0280442705220164e-06
9.699,1.25,0.7182,8.361269392825912e-07,2.98405343360564e-08,1.2082368723409156e-07,2.8354444049975394e-06
9.699,1.3,0.7115,9.810899276206331e-07,3.0717925633802035e-08,1.360555889825742e-07,3.3270378161218097e-06
9.699,1.35,0.7045,1.2391983974716798e-06,3.57756577350074e-08,1.4891571062256926e-07,4.202326223106478e-06
9.699,1.4,0.697,1.6216081300987362e-06,3.9818587634574464e-08,2.0639017475831666e-07,5.49914072082418e-06
9.699,1.45,0.6892,2.378767413538703e-06,5.2625471489716735e-08,2.4958741333072135e-07,8.066792775862444e-06
9.699,1.5,0.6809,3.2657894807058483e-06,6.44960764544598e-08,3.353933138790099e-07,1.1074830956783187e-05
9.699,1.55,0.6722,3.286238536026355e-06,6.03879193380203e-08,3.184069379941296e-07,1.1144177077296618e-05
