# Q2	W	cross_section	error
7.500000e-01	1.920000e+00	1.045245e-01	8.611367e-04
7.500000e-01	1.910000e+00	1.030076e-01	8.457738e-04
7.500000e-01	1.900000e+00	1.013415e-01	8.304024e-04
7.500000e-01	1.890000e+00	1.002643e-01	8.183677e-04
7.500000e-01	1.880000e+00	9.902981e-02	8.062762e-04
7.500000e-01	1.870000e+00	9.764473e-02	7.940750e-04
7.500000e-01	1.860000e+00	9.611500e-02	7.816526e-04
7.500000e-01	1.850000e+00	9.442820e-02	7.687904e-04
7.500000e-01	1.840000e+00	9.292746e-02	7.576128e-04
7.500000e-01	1.830000e+00	9.134962e-02	7.464216e-04
7.500000e-01	1.820000e+00	8.993040e-02	7.377156e-04
7.500000e-01	1.810000e+00	8.889331e-02	7.336586e-04
7.500000e-01	1.800000e+00	8.798600e-02	7.314969e-04
7.500000e-01	1.790000e+00	8.764156e-02	7.332384e-04
7.500000e-01	1.780000e+00	8.826716e-02	7.413940e-04
7.500000e-01	1.770000e+00	8.963900e-02	7.546616e-04
7.500000e-01	1.760000e+00	9.191704e-02	7.749247e-04
7.500000e-01	1.750000e+00	9.549418e-02	8.041713e-04
7.500000e-01	1.740000e+00	9.986465e-02	8.376828e-04
7.500000e-01	1.730000e+00	1.037741e-01	8.698684e-04
7.500000e-01	1.720000e+00	1.066317e-01	8.969375e-04
7.500000e-01	1.710000e+00	1.082124e-01	9.166667e-04
7.500000e-01	1.700000e+00	1.070522e-01	9.223611e-04
7.500000e-01	1.690000e+00	1.026337e-01	9.195078e-04
7.500000e-01	1.680000e+00	9.317549e-02	9.108564e-04
7.500000e-01	1.670000e+00	8.631655e-02	8.961663e-04
7.500000e-01	1.660000e+00	7.947149e-02	8.791361e-04
7.500000e-01	1.650000e+00	7.465952e-02	8.643051e-04
7.500000e-01	1.640000e+00	7.221298e-02	8.544142e-04
7.500000e-01	1.630000e+00	7.198460e-02	8.520466e-04
7.500000e-01	1.620000e+00	7.251235e-02	8.529315e-04
7.500000e-01	1.610000e+00	7.294513e-02	8.550866e-04
7.500000e-01	1.600000e+00	7.313740e-02	8.617825e-04
7.500000e-01	1.590000e+00	7.344077e-02	8.773879e-04
7.500000e-01	1.580000e+00	7.552923e-02	9.089310e-04
7.500000e-01	1.570000e+00	7.756547e-02	9.455100e-04
7.500000e-01	1.560000e+00	7.929213e-02	9.861103e-04
7.500000e-01	1.550000e+00	8.065659e-02	1.034848e-03
7.500000e-01	1.540000e+00	8.362400e-02	1.105065e-03
7.500000e-01	1.530000e+00	8.620909e-02	1.181612e-03
7.500000e-01	1.520000e+00	8.647302e-02	1.249095e-03
7.500000e-01	1.510000e+00	8.418750e-02	1.291006e-03
7.500000e-01	1.500000e+00	7.396352e-02	1.270202e-03
7.500000e-01	1.490000e+00	5.957555e-02	1.228237e-03
7.500000e-01	1.480000e+00	5.418234e-02	1.164849e-03
7.500000e-01	1.470000e+00	5.038782e-02	1.103570e-03
7.500000e-01	1.460000e+00	4.515148e-02	1.050346e-03
7.500000e-01	1.450000e+00	4.325713e-02	1.034604e-03
7.500000e-01	1.440000e+00	4.086628e-02	1.021960e-03
7.500000e-01	1.430000e+00	3.780404e-02	1.010453e-03
7.500000e-01	1.420000e+00	3.464224e-02	1.000254e-03
7.500000e-01	1.410000e+00	3.149230e-02	9.930516e-04
7.500000e-01	1.400000e+00	2.843381e-02	9.933185e-04
7.500000e-01	1.390000e+00	2.587139e-02	9.974295e-04
7.500000e-01	1.380000e+00	2.422473e-02	1.008551e-03
7.500000e-01	1.370000e+00	2.250630e-02	1.013785e-03
7.500000e-01	1.360000e+00	2.161703e-02	1.026775e-03
7.500000e-01	1.350000e+00	2.381712e-02	1.069274e-03
7.500000e-01	1.340000e+00	2.386483e-02	1.030516e-03
7.500000e-01	1.330000e+00	2.226799e-02	9.398103e-04
7.500000e-01	1.320000e+00	2.186239e-02	9.483108e-04
7.500000e-01	1.310000e+00	2.339278e-02	9.247787e-04
7.500000e-01	1.300000e+00	2.583129e-02	1.108572e-03
7.500000e-01	1.290000e+00	2.532022e-02	1.091027e-03
7.500000e-01	1.280000e+00	2.492321e-02	1.059779e-03
7.500000e-01	1.270000e+00	2.648423e-02	1.130336e-03
7.500000e-01	1.260000e+00	2.672063e-02	1.165575e-03
7.500000e-01	1.250000e+00	2.611922e-02	1.207633e-03
7.500000e-01	1.240000e+00	2.636416e-02	1.285309e-03
7.500000e-01	1.230000e+00	2.254078e-02	1.347225e-03
7.500000e-01	1.220000e+00	1.806829e-02	1.956149e-03
7.500000e-01	1.210000e+00	9.284854e-03	1.567961e-03
7.500000e-01	1.200000e+00	3.855718e-03	1.234874e-03
7.500000e-01	1.190000e+00	-1.101380e-03	1.083445e-03
7.500000e-01	1.180000e+00	-3.022017e-03	9.453595e-04
7.500000e-01	1.170000e+00	-1.302111e-03	8.365984e-04
7.500000e-01	1.160000e+00	5.697765e-04	7.415578e-04
7.500000e-01	1.150000e+00	1.814829e-03	6.516171e-04
7.500000e-01	1.140000e+00	3.428486e-03	5.857035e-04
7.500000e-01	1.130000e+00	4.528269e-03	5.094699e-04
7.500000e-01	1.120000e+00	5.072519e-03	4.365771e-04
1.000000e+00	1.890000e+00	5.140870e-02	1.347801e-03
1.000000e+00	1.880000e+00	5.030166e-02	9.302994e-04
1.000000e+00	1.870000e+00	4.882997e-02	7.081642e-04
1.000000e+00	1.860000e+00	4.730051e-02	4.934442e-04
1.000000e+00	1.850000e+00	4.649655e-02	4.716880e-04
1.000000e+00	1.840000e+00	4.579430e-02	4.592865e-04
1.000000e+00	1.830000e+00	4.505414e-02	4.468686e-04
1.000000e+00	1.820000e+00	4.434633e-02	4.391251e-04
1.000000e+00	1.810000e+00	4.359208e-02	4.317605e-04
1.000000e+00	1.800000e+00	4.280871e-02	4.245445e-04
1.000000e+00	1.790000e+00	4.253756e-02	4.217125e-04
1.000000e+00	1.780000e+00	4.246152e-02	4.203921e-04
1.000000e+00	1.770000e+00	4.262529e-02	4.211720e-04
1.000000e+00	1.760000e+00	4.373648e-02	4.350898e-04
1.000000e+00	1.750000e+00	4.481764e-02	4.505765e-04
1.000000e+00	1.740000e+00	4.596068e-02	4.645564e-04
1.000000e+00	1.730000e+00	4.713695e-02	4.725218e-04
1.000000e+00	1.720000e+00	4.809188e-02	4.810857e-04
1.000000e+00	1.710000e+00	4.740720e-02	4.882909e-04
1.000000e+00	1.700000e+00	4.646727e-02	4.934215e-04
1.000000e+00	1.690000e+00	4.373422e-02	4.855197e-04
1.000000e+00	1.680000e+00	3.816908e-02	4.718103e-04
1.000000e+00	1.670000e+00	3.488232e-02	4.580770e-04
1.000000e+00	1.660000e+00	3.215942e-02	4.457305e-04
1.000000e+00	1.650000e+00	3.038315e-02	4.336383e-04
1.000000e+00	1.640000e+00	2.973479e-02	4.249962e-04
1.000000e+00	1.630000e+00	2.949065e-02	4.165861e-04
1.000000e+00	1.620000e+00	3.008781e-02	4.125669e-04
1.000000e+00	1.610000e+00	3.071867e-02	4.108295e-04
1.000000e+00	1.600000e+00	3.166080e-02	4.132691e-04
1.000000e+00	1.590000e+00	3.201019e-02	4.166990e-04
1.000000e+00	1.580000e+00	3.269964e-02	4.248907e-04
1.000000e+00	1.570000e+00	3.314923e-02	4.354131e-04
1.000000e+00	1.560000e+00	3.428817e-02	4.546928e-04
1.000000e+00	1.550000e+00	3.564689e-02	4.792766e-04
1.000000e+00	1.540000e+00	3.697434e-02	5.090021e-04
1.000000e+00	1.530000e+00	3.785676e-02	5.398767e-04
1.000000e+00	1.520000e+00	3.765742e-02	5.657361e-04
1.000000e+00	1.510000e+00	3.671384e-02	5.828868e-04
1.000000e+00	1.500000e+00	3.361846e-02	5.823565e-04
1.000000e+00	1.490000e+00	2.742786e-02	5.618172e-04
1.000000e+00	1.480000e+00	2.472456e-02	5.289883e-04
1.000000e+00	1.470000e+00	2.234836e-02	4.982015e-04
1.000000e+00	1.460000e+00	1.986685e-02	4.755356e-04
1.000000e+00	1.450000e+00	1.836607e-02	4.616045e-04
1.000000e+00	1.440000e+00	1.727142e-02	4.368474e-04
1.000000e+00	1.430000e+00	1.605416e-02	4.266410e-04
1.000000e+00	1.420000e+00	1.400661e-02	4.034981e-04
1.000000e+00	1.410000e+00	1.258992e-02	3.965780e-04
1.000000e+00	1.400000e+00	1.158929e-02	4.035841e-04
1.000000e+00	1.390000e+00	1.073520e-02	4.128072e-04
1.000000e+00	1.380000e+00	9.928316e-03	4.189746e-04
1.000000e+00	1.370000e+00	1.006325e-02	4.303451e-04
1.000000e+00	1.360000e+00	1.027471e-02	4.416925e-04
1.000000e+00	1.350000e+00	1.030787e-02	4.536811e-04
1.000000e+00	1.340000e+00	1.114487e-02	4.711835e-04
1.000000e+00	1.330000e+00	1.089770e-02	4.790932e-04
1.000000e+00	1.320000e+00	1.157797e-02	4.977079e-04
1.000000e+00	1.310000e+00	1.176817e-02	5.173451e-04
1.000000e+00	1.300000e+00	1.259304e-02	5.453912e-04
1.000000e+00	1.290000e+00	1.322166e-02	5.782051e-04
1.000000e+00	1.280000e+00	1.391311e-02	6.161611e-04
1.000000e+00	1.270000e+00	1.432308e-02	6.611887e-04
1.000000e+00	1.260000e+00	1.505823e-02	7.145625e-04
1.000000e+00	1.250000e+00	1.607580e-02	7.776823e-04
1.000000e+00	1.240000e+00	1.705952e-02	8.392651e-04
1.000000e+00	1.230000e+00	1.614033e-02	8.911027e-04
1.000000e+00	1.220000e+00	1.502430e-02	9.225763e-04
1.000000e+00	1.210000e+00	1.217941e-02	9.007160e-04
1.000000e+00	1.200000e+00	8.449832e-03	8.458954e-04
1.000000e+00	1.190000e+00	5.715105e-03	7.599031e-04
1.000000e+00	1.180000e+00	4.152060e-03	6.750295e-04
1.000000e+00	1.170000e+00	3.383613e-03	6.011696e-04
1.000000e+00	1.160000e+00	3.714147e-03	5.375886e-04
1.000000e+00	1.150000e+00	3.325342e-03	4.700906e-04
1.000000e+00	1.140000e+00	3.635250e-03	4.198058e-04
1.000000e+00	1.130000e+00	3.196274e-03	3.619556e-04
1.000000e+00	1.120000e+00	3.369155e-03	3.169568e-04
1.250000e+00	1.780000e+00	2.288726e-02	4.934864e-04
1.250000e+00	1.770000e+00	2.285632e-02	4.518361e-04
1.250000e+00	1.760000e+00	2.276985e-02	4.087289e-04
1.250000e+00	1.750000e+00	2.383328e-02	4.504160e-04
1.250000e+00	1.740000e+00	2.504777e-02	5.045522e-04
1.250000e+00	1.730000e+00	2.549646e-02	4.879535e-04
1.250000e+00	1.720000e+00	2.508224e-02	3.976085e-04
1.250000e+00	1.710000e+00	2.465557e-02	3.200435e-04
1.250000e+00	1.700000e+00	2.359052e-02	3.061357e-04
1.250000e+00	1.690000e+00	2.237654e-02	2.924338e-04
1.250000e+00	1.680000e+00	1.890956e-02	2.798305e-04
1.250000e+00	1.670000e+00	1.674338e-02	2.670111e-04
1.250000e+00	1.660000e+00	1.515778e-02	2.575582e-04
1.250000e+00	1.650000e+00	1.408492e-02	2.489482e-04
1.250000e+00	1.640000e+00	1.372688e-02	2.429326e-04
1.250000e+00	1.630000e+00	1.381754e-02	2.387708e-04
1.250000e+00	1.620000e+00	1.416003e-02	2.353395e-04
1.250000e+00	1.610000e+00	1.447400e-02	2.325020e-04
1.250000e+00	1.600000e+00	1.502302e-02	2.372312e-04
1.250000e+00	1.590000e+00	1.549992e-02	2.491709e-04
1.250000e+00	1.580000e+00	1.586552e-02	2.571619e-04
1.250000e+00	1.570000e+00	1.599213e-02	2.618081e-04
1.250000e+00	1.560000e+00	1.622798e-02	2.814179e-04
1.250000e+00	1.550000e+00	1.622784e-02	3.037125e-04
1.250000e+00	1.540000e+00	1.665336e-02	3.075173e-04
1.250000e+00	1.530000e+00	1.678901e-02	3.117815e-04
1.250000e+00	1.520000e+00	1.666427e-02	3.123611e-04
1.250000e+00	1.510000e+00	1.593226e-02	3.112902e-04
1.250000e+00	1.500000e+00	1.485387e-02	3.119137e-04
1.250000e+00	1.490000e+00	1.132886e-02	2.958390e-04
1.250000e+00	1.480000e+00	1.004441e-02	2.752835e-04
1.250000e+00	1.470000e+00	9.310885e-03	2.576365e-04
1.250000e+00	1.460000e+00	8.347031e-03	2.439939e-04
1.250000e+00	1.450000e+00	7.277863e-03	2.330867e-04
1.250000e+00	1.440000e+00	6.330101e-03	2.269128e-04
1.250000e+00	1.430000e+00	5.558905e-03	2.230076e-04
1.250000e+00	1.420000e+00	4.938353e-03	2.213113e-04
1.250000e+00	1.410000e+00	4.248230e-03	2.199170e-04
1.250000e+00	1.400000e+00	3.535053e-03	2.193898e-04
1.250000e+00	1.390000e+00	2.880626e-03	2.193425e-04
1.250000e+00	1.380000e+00	2.320025e-03	2.190020e-04
1.250000e+00	1.370000e+00	2.159103e-03	2.205338e-04
1.250000e+00	1.360000e+00	2.130823e-03	2.227892e-04
1.250000e+00	1.350000e+00	2.250840e-03	2.252158e-04
1.250000e+00	1.340000e+00	2.473083e-03	2.273086e-04
1.250000e+00	1.330000e+00	2.783069e-03	2.328969e-04
1.250000e+00	1.320000e+00	3.152528e-03	2.387711e-04
1.250000e+00	1.310000e+00	3.427887e-03	2.459168e-04
1.250000e+00	1.300000e+00	3.517110e-03	2.542979e-04
1.250000e+00	1.290000e+00	3.485338e-03	2.640870e-04
1.250000e+00	1.280000e+00	3.612000e-03	2.783947e-04
1.250000e+00	1.270000e+00	3.458850e-03	2.931236e-04
1.250000e+00	1.260000e+00	3.213537e-03	3.098292e-04
1.250000e+00	1.250000e+00	3.446756e-03	3.335482e-04
1.250000e+00	1.240000e+00	2.816479e-03	3.523132e-04
1.250000e+00	1.230000e+00	2.220326e-03	3.702472e-04
1.250000e+00	1.220000e+00	1.385898e-03	3.766336e-04
1.250000e+00	1.210000e+00	1.130425e-03	3.702365e-04
1.250000e+00	1.200000e+00	4.352863e-04	3.428076e-04
1.250000e+00	1.190000e+00	-1.854206e-05	3.062710e-04
1.250000e+00	1.180000e+00	1.173972e-04	2.730043e-04
1.250000e+00	1.170000e+00	7.950755e-05	2.356751e-04
1.250000e+00	1.160000e+00	2.700293e-04	2.077566e-04
1.250000e+00	1.150000e+00	1.062101e-03	1.921985e-04
1.250000e+00	1.140000e+00	1.042722e-03	1.664155e-04
1.250000e+00	1.130000e+00	1.232560e-03	1.497556e-04
1.250000e+00	1.120000e+00	1.281371e-03	1.287623e-04
1.500000e+00	2.000000e+00	2.035971e-02	2.337261e-04
1.500000e+00	1.990000e+00	2.041898e-02	2.371547e-04
1.500000e+00	1.980000e+00	2.044389e-02	2.402121e-04
1.500000e+00	1.970000e+00	2.043702e-02	2.432957e-04
1.500000e+00	1.960000e+00	2.039636e-02	2.464056e-04
1.500000e+00	1.950000e+00	2.038506e-02	2.503595e-04
1.500000e+00	1.940000e+00	2.037213e-02	2.542673e-04
1.500000e+00	1.930000e+00	2.035207e-02	2.582103e-04
1.500000e+00	1.920000e+00	2.033955e-02	2.624383e-04
1.500000e+00	1.910000e+00	2.029944e-02	2.667049e-04
1.500000e+00	1.900000e+00	1.993107e-02	2.693274e-04
1.500000e+00	1.890000e+00	1.943807e-02	2.711235e-04
1.500000e+00	1.880000e+00	1.896288e-02	2.732701e-04
1.500000e+00	1.870000e+00	1.855069e-02	2.758587e-04
1.500000e+00	1.860000e+00	1.813054e-02	2.785524e-04
1.500000e+00	1.850000e+00	1.778650e-02	2.819586e-04
1.500000e+00	1.840000e+00	1.757886e-02	2.870469e-04
1.500000e+00	1.830000e+00	1.736010e-02	2.921822e-04
1.500000e+00	1.820000e+00	1.697656e-02	2.963079e-04
1.500000e+00	1.810000e+00	1.651985e-02	2.998492e-04
1.500000e+00	1.800000e+00	1.608915e-02	3.035080e-04
